model,device,dtype,batch_size,length,dim,level,benchmark_level,mae,mape,rmse,time
monomial_approx,cpu,float64,4,10,2,2,21,0.00462842983874219,0.0055882860298526755,0.03367544397265073,0.019715781440027058
monomial_approx,cpu,float64,4,10,2,3,21,0.0005799174931400558,0.0007187550471229756,0.005038566699087018,0.020086362026631832
monomial_approx,cpu,float64,4,10,2,4,21,9.333094936177233e-06,1.0604688415983104e-05,7.592596609860287e-05,0.022405413910746574
monomial_approx,cpu,float64,4,10,2,5,21,4.939290586744582e-07,6.134778651950608e-07,4.668865491227925e-06,0.02222845226060599
monomial_approx,cpu,float64,4,10,2,6,21,4.900700636967237e-09,5.253446742573159e-09,5.2237904680124275e-08,0.026347149163484573
monomial_approx,cpu,float64,4,10,2,7,21,1.46823525559725e-10,1.811630759505621e-10,1.4644960117347173e-09,0.024688850389793515
monomial_approx,cpu,float64,4,10,2,8,21,9.863151961830852e-13,1.0206864391051104e-12,1.2918413222085156e-11,0.022931165411137044
monomial_approx,cpu,float64,4,10,2,9,21,1.887379141862766e-14,2.3031114345463987e-14,1.9654541319073578e-13,0.024782215245068073
monomial_approx,cpu,float64,4,10,2,10,21,4.787836793695988e-16,5.184576940751904e-16,2.5631488888267375e-15,0.026129625155590475
monomial_approx,cpu,float64,4,10,2,11,21,3.8163916471489756e-16,4.117928633929345e-16,1.926164957854745e-15,0.027010891120880842
monomial_approx,cpu,float64,4,10,2,12,21,3.8163916471489756e-16,4.117928633929345e-16,1.926164957854745e-15,0.028739204863086343
monomial_approx,cpu,float64,4,10,2,13,21,3.8163916471489756e-16,4.117928633929345e-16,1.926164957854745e-15,0.029258156311698258
monomial_approx,cpu,float64,4,10,2,14,21,3.8163916471489756e-16,4.117928633929345e-16,1.926164957854745e-15,0.030241838889196515
monomial_approx,cpu,float64,4,10,2,15,21,3.8163916471489756e-16,4.117928633929345e-16,1.926164957854745e-15,0.04373324115294963
monomial_approx,cpu,float64,4,10,2,16,21,3.8163916471489756e-16,4.117928633929345e-16,1.926164957854745e-15,0.034709623316302896
monomial_approx,cpu,float64,4,10,2,17,21,3.8163916471489756e-16,4.117928633929345e-16,1.926164957854745e-15,0.03247701877262443
monomial_interp,cpu,float64,4,10,2,2,21,1.3010050783343607e-05,1.456040419122311e-05,7.545937005942658e-05,0.03275602660141885
monomial_interp,cpu,float64,4,10,2,3,21,4.1199298658756156e-07,4.1946549111053027e-07,2.981621916988279e-06,0.035935510182753205
monomial_interp,cpu,float64,4,10,2,4,21,3.954360727753681e-10,4.2826548828598233e-10,2.7269217478530234e-09,0.04302903020288795
monomial_interp,cpu,float64,4,10,2,5,21,4.312765422564979e-12,4.5620708609306415e-12,4.094537689545286e-11,0.04915042547509074
monomial_interp,cpu,float64,4,10,2,6,21,3.927413949611491e-15,4.2912657700042835e-15,2.4253736129965488e-14,0.05349748057778925
monomial_interp,cpu,float64,4,10,2,7,21,2.4077961846558082e-15,2.688602755913949e-15,1.1015851938726798e-14,0.04819642286747694
monomial_interp,cpu,float64,4,10,2,8,21,2.699229728619912e-15,3.0564792386482404e-15,1.3546085859959466e-14,0.06152647873386741
monomial_interp,cpu,float64,4,10,2,9,21,2.5604518505417673e-15,2.8558726372808847e-15,1.223413383995953e-14,0.07477506378199905
monomial_interp,cpu,float64,4,10,2,10,21,3.066991105526995e-15,3.557243860046057e-15,1.3914598392522225e-14,0.08818365458864719
monomial_interp,cpu,float64,4,10,2,11,21,3.70536934468646e-15,4.308648369169399e-15,1.7501425609228123e-14,0.07359034242108464
monomial_interp,cpu,float64,4,10,2,12,21,3.184952301893418e-15,3.797702437564583e-15,1.5917284191847226e-14,0.1267599114216864
monomial_interp,cpu,float64,4,10,2,13,21,2.5118795932144167e-15,3.0233171557157675e-15,1.2334972521027465e-14,0.12203038088046014
monomial_interp,cpu,float64,4,10,2,14,21,2.7131075164277263e-15,3.0469488106724954e-15,1.2475567779054259e-14,0.11527278309222311
monomial_interp,cpu,float64,4,10,2,15,21,2.6645352591003757e-15,3.097155763044868e-15,1.2767082068401203e-14,0.1188020862173289
monomial_interp,cpu,float64,4,10,2,16,21,3.4416913763379853e-15,3.979194410488919e-15,1.5874248184135744e-14,0.14197450375650078
