model,device,dtype,batch_size,length,dim,level,benchmark_level,mae,mape,rmse,time
sigkerax,cpu,float64,4,10,2,1,21,8.942008359331954e-06,9.352369533191229e-06,4.0162271426032196e-05,0.000993899768218398
sigkerax,cpu,float64,4,10,2,2,21,2.0841469502777543e-06,2.200552766373752e-06,9.804285417246989e-06,0.0015335287898778915
sigkerax,cpu,float64,4,10,2,3,21,9.08457795475992e-07,9.63045914771452e-07,4.600580174094016e-06,0.00270822923630476
sigkerax,cpu,float64,4,10,2,4,21,5.168921982240393e-07,5.503207353621465e-07,2.6787841423785885e-06,0.004164774436503649
sigkerax,cpu,float64,4,10,2,5,21,3.3522446830913655e-07,3.576759509438225e-07,1.753256782059524e-06,0.005475661484524608
sigkerax,cpu,float64,4,10,2,6,21,2.356794891120173e-07,2.5183059410405814e-07,1.2365371556993533e-06,0.00825464865192771
sigkerax,cpu,float64,4,10,2,7,21,1.7464980160697419e-07,1.8680793900687797e-07,9.187875880180362e-07,0.011626483639702201
sigkerax,cpu,float64,4,10,2,8,21,1.3456937515698986e-07,1.4404490317879464e-07,7.095037754981211e-07,0.013912938768044114
sigkerax,cpu,float64,4,10,2,9,21,1.0684748005806988e-07,1.144365742603221e-07,5.64378798781182e-07,0.0177309587597847
sigkerax,cpu,float64,4,10,2,10,21,8.688252901151161e-08,9.309578936233592e-08,4.5962884833077727e-07,0.02145052421838045
sigkerax,cpu,float64,4,10,2,11,21,7.203016874623991e-08,7.720969653595102e-08,3.8155339891929366e-07,0.02595366141758859
sigkerax,cpu,float64,4,10,2,12,21,6.068333670977699e-08,6.506674797420931e-08,3.218064943953194e-07,0.027292620157822967
sigkerax,cpu,float64,4,10,2,13,21,5.182003529752288e-08,5.5577450015707346e-08,2.750694586411555e-07,0.03592914459295571
sigkerax,cpu,float64,4,10,2,14,21,4.47652919177699e-08,4.80216687077469e-08,2.3782141837638293e-07,0.03706428408622742
sigkerax,cpu,float64,4,10,2,15,21,3.9058710606110214e-08,4.1907865498273676e-08,2.0765785955287782e-07,0.048290202394127846
sigkerax,cpu,float64,4,10,2,16,21,3.4377359230119975e-08,3.689110647622765e-08,1.828888043383888e-07,0.0479721378069371
sigkerax,cpu,float64,4,10,2,17,21,3.048983675951744e-08,3.2724047634285833e-08,1.6230190213707413e-07,0.06183017464354634
monomial_approx,cpu,float64,4,10,3,2,16,4.5422036977563196e-05,5.348931095303206e-05,0.000392103808979065,0.0008644214831292629
monomial_approx,cpu,float64,4,10,3,3,16,5.128869543166714e-07,6.046399487249293e-07,5.64243838124137e-06,0.0013950371649116278
monomial_approx,cpu,float64,4,10,3,4,16,3.978402746129817e-09,4.7254364033295875e-09,5.3469532076356954e-08,0.0020945114083588123
monomial_approx,cpu,float64,4,10,3,5,16,2.467336751577065e-11,2.936506160531955e-11,3.607775360237109e-10,0.0027546340133994818
monomial_approx,cpu,float64,4,10,3,6,16,1.1828038548600261e-13,1.4098390611823602e-13,1.8078591311556913e-12,0.004835116909816861
monomial_approx,cpu,float64,4,10,3,7,16,6.036837696399289e-16,7.118478456300424e-16,6.78690513370569e-15,0.005972131155431271
monomial_approx,cpu,float64,4,10,3,8,16,2.0122792321330962e-16,2.3160043328160617e-16,1.318316798730503e-15,0.008172840345650911
monomial_approx,cpu,float64,4,10,3,9,16,2.0122792321330962e-16,2.3160043328160617e-16,1.318316798730503e-15,0.010329537559300661
monomial_approx,cpu,float64,4,10,3,10,16,2.0122792321330962e-16,2.3160043328160617e-16,1.318316798730503e-15,0.012011265149340034
monomial_approx,cpu,float64,4,10,3,11,16,2.0122792321330962e-16,2.3160043328160617e-16,1.318316798730503e-15,0.01282765599898994
monomial_approx,cpu,float64,4,10,3,12,16,2.0122792321330962e-16,2.3160043328160617e-16,1.318316798730503e-15,0.017628052504733205
monomial_approx,cpu,float64,4,10,3,13,16,2.0122792321330962e-16,2.3160043328160617e-16,1.318316798730503e-15,0.015972333727404475
monomial_approx,cpu,float64,4,10,3,14,16,2.0122792321330962e-16,2.3160043328160617e-16,1.318316798730503e-15,0.020909607410430908
monomial_approx,cpu,float64,4,10,3,15,16,2.0122792321330962e-16,2.3160043328160617e-16,1.318316798730503e-15,0.022168404888361692
monomial_approx,cpu,float64,4,10,3,16,16,2.0122792321330962e-16,2.3160043328160617e-16,1.318316798730503e-15,0.02441983576864004
monomial_approx,cpu,float64,4,10,3,17,16,2.0122792321330962e-16,2.3160043328160617e-16,1.318316798730503e-15,0.019960115663707256
monomial_interp,cpu,float64,4,10,3,2,16,1.07630788309665e-09,1.3215338355094015e-09,8.429164277556969e-09,0.011480710469186306
monomial_interp,cpu,float64,4,10,3,3,16,6.585199746611536e-11,8.067708545391291e-11,5.495540136162423e-10,0.00618108082562685
monomial_interp,cpu,float64,4,10,3,4,16,3.0322966360074588e-15,3.4302430856842545e-15,2.44921842362489e-14,0.029082728317007422
monomial_interp,cpu,float64,4,10,3,5,16,1.4224732503009818e-15,1.4649783098642754e-15,6.623296905716571e-15,0.04531109961681068
monomial_interp,cpu,float64,4,10,3,6,16,1.3739009929736312e-15,1.4689858732112658e-15,6.938671855749476e-15,0.07389866723679006
monomial_interp,cpu,float64,4,10,3,7,16,1.304512053934559e-15,1.3261453713696733e-15,6.161487731364982e-15,0.02560836309567094
monomial_interp,cpu,float64,4,10,3,8,16,1.2698175844150228e-15,1.3102895598484816e-15,5.969449405349742e-15,0.1340158674865961
