analysis,model,device,dtype,batch_size,length,dim,param,time
length,sigkerax,gpu,float32,8,500,8,1,0.6828326674488684
length,monomial_approx,cpu,float32,8,100,8,2,0.7045945102969805
length,monomial_approx,cpu,float32,8,100,8,3,0.9352357573031136
length,monomial_approx,cpu,float32,8,100,8,4,0.9783361819572748
length,monomial_approx,cpu,float32,8,100,8,5,1.079291836824268
length,sigkerax,cpu,float32,8,100,8,1,1.122155415515105
length,monomial_approx,cpu,float32,8,125,8,2,0.7455660544801503
length,monomial_approx,cpu,float32,8,125,8,3,1.088795594482993
length,monomial_approx,cpu,float32,8,125,8,4,1.1056940493484335
length,monomial_approx,cpu,float32,8,125,8,5,1.3523291818176706
length,sigkerax,cpu,float32,8,125,8,1,1.1244203601187717
length,monomial_approx,cpu,float32,8,150,8,2,0.8644180758856237
length,monomial_approx,cpu,float32,8,150,8,3,1.3143542710070808
length,monomial_approx,cpu,float32,8,150,8,4,1.4595947141448655
length,monomial_approx,cpu,float32,8,150,8,5,1.7235746315370004
length,sigkerax,cpu,float32,8,150,8,1,1.1856794199751068
length,monomial_approx,cpu,float32,8,175,8,2,0.8965450297885885
length,monomial_approx,cpu,float32,8,175,8,3,1.5071231305288773
length,monomial_approx,cpu,float32,8,175,8,4,1.6628079561827085
length,monomial_approx,cpu,float32,8,175,8,5,2.1350399809889495
length,sigkerax,cpu,float32,8,175,8,1,1.2266379854020972
length,monomial_approx,cpu,float32,8,200,8,2,1.03937222637857
length,monomial_approx,cpu,float32,8,200,8,3,1.890341960825026
length,monomial_approx,cpu,float32,8,200,8,4,1.942232379379372
length,monomial_approx,cpu,float32,8,200,8,5,2.6760728686737516
length,sigkerax,cpu,float32,8,200,8,1,1.2662532351290186
length,monomial_approx,cpu,float32,8,225,8,2,1.0903072267925988
length,monomial_approx,cpu,float32,8,225,8,3,2.1260768979943045
length,monomial_approx,cpu,float32,8,225,8,4,2.2973423244742057
length,monomial_approx,cpu,float32,8,225,8,5,3.1691073306525746
length,sigkerax,cpu,float32,8,225,8,1,1.31781975661094
length,monomial_approx,cpu,float32,8,250,8,2,1.2480561211705208
length,monomial_approx,cpu,float32,8,250,8,3,2.828858928832536
length,monomial_approx,cpu,float32,8,250,8,4,2.754914922794948
length,monomial_approx,cpu,float32,8,250,8,5,3.839673008847361
length,sigkerax,cpu,float32,8,250,8,1,1.3635007076275845
length,monomial_approx,cpu,float32,8,275,8,2,1.3738281974413742
length,monomial_approx,cpu,float32,8,275,8,3,3.0821490014592805
length,monomial_approx,cpu,float32,8,275,8,4,3.200876207323745
length,monomial_approx,cpu,float32,8,275,8,5,4.568958570171769
length,sigkerax,cpu,float32,8,275,8,1,1.438246774720028
length,monomial_approx,cpu,float32,8,300,8,2,1.5563441573176533
length,monomial_approx,cpu,float32,8,300,8,3,3.5335059165178486
length,monomial_approx,cpu,float32,8,300,8,4,3.730446685881665
length,monomial_approx,cpu,float32,8,300,8,5,5.021487728382151
length,sigkerax,cpu,float32,8,300,8,1,1.488417378005882
length,monomial_approx,cpu,float32,8,325,8,2,1.6082266073208302
length,monomial_approx,cpu,float32,8,325,8,3,3.890069320332259
length,monomial_approx,cpu,float32,8,325,8,4,4.216649881952132
length,monomial_approx,cpu,float32,8,325,8,5,6.139352514486139
length,sigkerax,cpu,float32,8,325,8,1,1.647912270001446
length,monomial_approx,cpu,float32,8,350,8,2,2.1517090456715473
length,monomial_approx,cpu,float32,8,350,8,3,4.69840693116809
length,monomial_approx,cpu,float32,8,350,8,4,4.9262338966752095
length,monomial_approx,cpu,float32,8,350,8,5,7.177141877201696
length,sigkerax,cpu,float32,8,350,8,1,1.7027723621577024
length,monomial_approx,cpu,float32,8,375,8,2,2.366529675355802
length,monomial_approx,cpu,float32,8,375,8,3,5.245201477004836
length,monomial_approx,cpu,float32,8,375,8,4,5.517916356135781
length,monomial_approx,cpu,float32,8,375,8,5,8.142406009836122
length,sigkerax,cpu,float32,8,375,8,1,1.7951829916176696
length,monomial_approx,cpu,float32,8,400,8,2,2.629993624286726
length,monomial_approx,cpu,float32,8,400,8,3,5.943685347447172
length,monomial_approx,cpu,float32,8,400,8,4,6.4907725469674915
length,monomial_approx,cpu,float32,8,400,8,5,9.71874721852752
length,sigkerax,cpu,float32,8,400,8,1,1.8310767198757576
length,monomial_approx,cpu,float32,8,425,8,2,2.6034640899548926
length,monomial_approx,cpu,float32,8,425,8,3,6.2235381630404545
length,monomial_approx,cpu,float32,8,425,8,4,5.967479799175635
length,monomial_approx,cpu,float32,8,425,8,5,8.48478305595927
length,sigkerax,cpu,float32,8,425,8,1,2.11737574567087
length,monomial_approx,cpu,float32,8,450,8,2,3.2484081177972257
length,monomial_approx,cpu,float32,8,450,8,3,7.243300788026924
length,monomial_approx,cpu,float32,8,450,8,4,6.871601639858757
length,monomial_approx,cpu,float32,8,450,8,5,10.440573552933833
length,sigkerax,cpu,float32,8,450,8,1,2.1793694756925106
length,monomial_approx,cpu,float32,8,475,8,2,3.516263763497894
length,monomial_approx,cpu,float32,8,475,8,3,7.976265320011104
length,monomial_approx,cpu,float32,8,475,8,4,7.823977795662358
length,monomial_approx,cpu,float32,8,475,8,5,11.545180723226318
length,sigkerax,cpu,float32,8,475,8,1,2.316916130715981
length,monomial_approx,cpu,float32,8,500,8,2,3.922850363344575
length,monomial_approx,cpu,float32,8,500,8,3,8.835640788155919
length,monomial_approx,cpu,float32,8,500,8,4,8.72080178783896
length,monomial_approx,cpu,float32,8,500,8,5,12.69405654227982
length,sigkerax,cpu,float32,8,500,8,1,2.5419918868380287
order,monomial_approx,gpu,float32,8,32,8,2,0.4556020429978768
order,monomial_approx,gpu,float32,8,32,8,3,0.4865984177061667
order,monomial_approx,gpu,float32,8,32,8,4,0.4922359946649521
order,monomial_approx,gpu,float32,8,32,8,5,0.4877084566590686
order,monomial_approx,gpu,float32,8,32,8,6,0.5007853518084934
order,monomial_approx,gpu,float32,8,32,8,7,0.5004285802909484
order,monomial_approx,gpu,float32,8,32,8,8,0.4974198548588902
order,monomial_approx,gpu,float32,8,32,8,9,0.5061333021925142
order,monomial_approx,gpu,float32,8,32,8,10,0.5032595267208914
order,monomial_approx,gpu,float32,8,32,8,11,0.4960156177791456
order,monomial_approx,gpu,float32,8,32,8,12,0.5138245489603529
order,monomial_approx,gpu,float32,8,32,8,13,0.507162487677609
order,monomial_approx,gpu,float32,8,32,8,14,0.5099174890977641
order,monomial_approx,gpu,float32,8,32,8,15,0.5113007908221334
order,monomial_approx,gpu,float32,8,32,8,16,0.4827134398122628
order,monomial_approx,gpu,float32,8,32,8,17,0.4940519443092246
order,monomial_approx,gpu,float32,8,32,8,18,0.4901175660391648
order,monomial_approx,gpu,float32,8,32,8,19,0.488253514515236
order,sigkerax,gpu,float32,8,32,8,2,0.6652245480411997
order,sigkerax,gpu,float32,8,32,8,3,0.6779109917891523
order,sigkerax,gpu,float32,8,32,8,4,0.6657964449841529
order,sigkerax,gpu,float32,8,32,8,5,0.6979396305202196
order,sigkerax,gpu,float32,8,32,8,6,0.7008323773431281
order,sigkerax,gpu,float32,8,32,8,7,0.6983865149474392
order,sigkerax,gpu,float32,8,32,8,8,0.668497306217129
order,sigkerax,gpu,float32,8,32,8,9,0.6977816336633017
order,sigkerax,gpu,float32,8,32,8,10,0.6981388284669569
order,sigkerax,gpu,float32,8,32,8,11,0.7041549848703047
order,sigkerax,gpu,float32,8,32,8,12,0.7065104282616327
order,sigkerax,gpu,float32,8,32,8,13,0.7156941723078489
order,sigkerax,gpu,float32,8,32,8,14,0.7285842827986926
order,sigkerax,gpu,float32,8,32,8,15,0.7263520476408303
order,sigkerax,gpu,float32,8,32,8,16,0.7382780426802734
order,sigkerax,gpu,float32,8,32,8,17,0.7199228761407236
order,sigkerax,gpu,float32,8,32,8,18,0.7445408586257448
